"EN 301 127","Final draft Version 1.1.1","Vote","V",20000602,"2000-04","DEN/TM-04064","TM 4","29 Pages","E","en_301127v010101v.pdf","","","","Fixed Radio Systems Point-to-point equipment;","High capacity digital radio systems carrying SDH signals (2 x STM-1) in frequency bands with about 30 MHz channel spacing and using Co-Channel Dual Polarized (CCDP) operation","","","","","Application, system concepts, compatibility with existing systems and XPIC characterisation performance.  This EN will be the up-grading of TR 101 127 V111."
"EN 300 195-4","Draft Version 1.2.1","Public Enquiry","PE",20000804,"2000-04","REN/SPAN-05138-4","SPAN 5","30 Pages","P900","en_30019504v010201c.pdf","en_30019504v010201c0.zip","","","Integrated Services Digital Network (ISDN);","Supplementary service interactions;","Digital Subscriber Signalling System No. one (DSS1) protocol;","Part 4: Abstract Test Suite (ATS) and partial Protocol Implementation eXtra Information for Testing (PIXIT) proforma specification for the user","","","Test specification for RE/SPS-05138-1 "
"EN 300 195-6","Draft Version 1.2.1","Public Enquiry","PE",20000804,"2000-04","REN/SPAN-05138-6","SPAN 5","42 Pages","P1700","en_30019506v010201c.pdf","en_30019506v010201c0.zip","","","Integrated Services Digital Network (ISDN);","Supplementary service interactions;","Digital Subscriber Signalling System No. one (DSS1) protocol;","Part 6: Abstract Test Suite (ATS) and partial Protocol Implementation eXtra Information for Testing (PIXIT) proforma specification for the network","","","Test specification for RE/SPS-05138-1 "
"EN 301 213-3","Draft Version 1.2.1","One-step Approval Procedure","OP",20000804,"2000-04","REN/TM-04098","TM 4","20 Pages","C","en_30121303v010201o.pdf","","","","Fixed Radio Systems;","Point-to-multipoint equipment;","Point-to-multipoint digital radio systems in frequency bands in the range 24,25 GHz to 29,5 GHz using different access methods;","Part 3: Time Division Multiple Access (TDMA) methods","","","Revision of Version 1 of EN 301-213 part 3 to include a further system type (type C), which supports a modulation order equivalent to 64 QAM as a logical extension to the two system types (types A and B) already included in the standard.  Supporting members: Alcatel, Telia, DTI/RA, Radio Frequency Investigation Ltd, Nortel "
"EN 301 751","Draft Version 1.1.1","One-step Approval Procedure","OP",20000804,"2000-04","DEN/TM-04090","TM 4","35 Pages","F","en_301751v010101o.pdf","","","","Fixed Radio Systems;","Point-to-Point equipments and antennas;","Generic harmonized standard for Point-to-Point digital fixed radio systems and antennas covering the essential requirements under article 3.2 of the 1999/5/EC Directive","","","","To produce a generic standard, candidate for harmonisation, which identify all the essential parameters relevant to point-to-point fixed radio systems, and by cross-referencing to the relevant clauses in present equipment and antennas ENs produced by TM4, provides the actual value o the required essential parameters.  The essential paramters will be derived from the guidance given in EG 201 399 and from further specific adaptation to Fixed Radio Systems given in DTR/TM-04089.  Supporting memnbers: Italtel, DTI/RA, Bosch, Alcatel France"
"EN 301 055","Draft Version 1.3.1","One-step Approval Procedure","OP",20000707,"2000-03","REN/TM-04104","TM 4","23 Pages","D","en_301055v010301o.pdf","","","","Fixed Radio Systems;","Point-to-multipoint equipment;","Direct Sequence Code Division Multiple Access (DS-CDMA);","Point-to-multipoint digital radio systems in frequency bands in the range 1 GHz to 3 GHz","","","Revision for alignment with latest EMC and spurious emission standards . "
"EN 300 286-4","Final draft Version 1.3.3","Vote","V",20000505,"2000-03","REN/SPS-05168-4","SPS 5","32 Pages","P600","en_30028604v010303v.pdf","en_30028604v010303v0.zip","","","Integrated Services Digital Network (ISDN);","User-to-User Signalling (UUS) supplementary service;","Digital Subscriber Signalling System No. one (DSS1) protocol;","Part 4: Abstract Test Suite (ATS) and partial Protocol Implementation eXtra Information for Testing (PIXIT) proforma specification for the user","","","To handle comments and incorporate appropriate corrections into the ATS of DSS1 L2"
"EN 301 144-3","Final draft Version 1.1.3","Vote","V",20000505,"2000-03","DEN/SPS-05121-3","SPS 5","29 Pages","E","en_30114403v010103v.pdf","","","","Integrated Services Digital Network (ISDN);","Digital Subscriber Signalling System No. one (DSS1) and Signalling System No.7 protocols;","Signalling application for the mobility management service on the alpha interface;","Part 3: Test Suite Structure and Test Purposes (TSS&TP) specification for the user","","","Test specification for DE/SPS-05121-1 "
"EN 301 435-1","Final draft Version 1.1.1","Vote","V",20000505,"2000-03","DEN/TETRA-02028-1","TETRA 2","82 Pages","M","en_30143501v010101v.pdf","","","","Terrestrial Trunked Radio (TETRA);","Attachment requirements for TETRA terminal equipment;","Part 1: Civil access","","","","Scope as defined by ACTE to be included as scope for the Deliverable, which excludes DMO unless Managed DMO can be implemented."
"EN 302 093-2","Final draft Version 1.1.1","Vote","V",20000505,"2000-03","DEN/SPS-05133-2","SPS 5","16 Pages","C","en_30209302v010101v.pdf","en_30209302v010101v0.zip","","","Broadband Integrated Services Digital Network (B-ISDN);","Digital Subscriber Signalling System No. two (DSS2) protocol;","Point-to-point multiconnection bearer control specification in a separated call and bearer environment;","Part 2: Protocol Implementation Conformance Statement (PICS) proforma specification","","","PICS to part 1"
